10000000000,4,4,3,10000000000,10000000000,10000000000,10000000000,10000000000,10000000000
4,10000000000,4,10000000000,2,10000000000,4,10000000000,10000000000,10000000000
4,4,10000000000,2,3,5,10000000000,10000000000,10000000000,10000000000
3,10000000000,2,10000000000,10000000000,2,10000000000,10000000000,10000000000,2
10000000000,2,3,10000000000,10000000000,4,1,3,10000000000,10000000000
10000000000,10000000000,5,2,4,10000000000,10000000000,3,1,10000000000
10000000000,4,10000000000,10000000000,1,10000000000,10000000000,1,10000000000,2
10000000000,10000000000,10000000000,10000000000,3,3,1,10000000000,3,4
10000000000,10000000000,10000000000,2,10000000000,1,10000000000,3,10000000000,1
10000000000,10000000000,10000000000,10000000000,10000000000,10000000000,2,4,1,10000000000
